Epoch,Batch,Loss,Valid Samples,Learning Rate,Key-Value Pair Counts
1,10,2.2954,1024,0.000120,10 pairs: 1024 images;
1,20,2.2877,1024,0.000120,10 pairs: 1021 images; 4 pairs: 1 images;
37,10,1.8530,1024,0.002049,10 pairs: 57 images; 8 pairs: 92 images; 6 pairs: 162 images; 4 pairs: 267 images; 2 pairs: 446 images;
37,20,1.8488,1024,0.002049,10 pairs: 65 images; 8 pairs: 99 images; 6 pairs: 166 images; 4 pairs: 262 images; 2 pairs: 432 images;
37,30,1.8585,1024,0.002049,10 pairs: 47 images; 8 pairs: 72 images; 6 pairs: 182 images; 4 pairs: 278 images; 2 pairs: 444 images;
37,40,1.8330,1024,0.002049,10 pairs: 51 images; 8 pairs: 90 images; 6 pairs: 173 images; 4 pairs: 282 images; 2 pairs: 428 images;
38,10,1.8436,1024,0.002120,10 pairs: 48 images; 8 pairs: 86 images; 6 pairs: 181 images; 4 pairs: 257 images; 2 pairs: 452 images;
38,20,1.8535,1024,0.002120,10 pairs: 47 images; 8 pairs: 85 images; 6 pairs: 186 images; 4 pairs: 261 images; 2 pairs: 444 images;
38,30,1.8544,1024,0.002120,10 pairs: 31 images; 8 pairs: 97 images; 6 pairs: 155 images; 4 pairs: 289 images; 2 pairs: 450 images;
38,40,1.8260,1024,0.002120,10 pairs: 43 images; 8 pairs: 77 images; 6 pairs: 164 images; 4 pairs: 265 images; 2 pairs: 475 images;
39,10,1.8611,1024,0.002190,10 pairs: 47 images; 8 pairs: 81 images; 6 pairs: 176 images; 4 pairs: 258 images; 2 pairs: 462 images;
39,20,1.8263,1024,0.002190,10 pairs: 54 images; 8 pairs: 93 images; 6 pairs: 165 images; 4 pairs: 261 images; 2 pairs: 451 images;
39,30,1.8509,1024,0.002190,10 pairs: 46 images; 8 pairs: 95 images; 6 pairs: 175 images; 4 pairs: 253 images; 2 pairs: 452 images;
39,40,1.8452,1024,0.002190,10 pairs: 49 images; 8 pairs: 94 images; 6 pairs: 174 images; 4 pairs: 258 images; 2 pairs: 449 images;
40,10,1.8317,1024,0.002258,10 pairs: 38 images; 8 pairs: 103 images; 6 pairs: 179 images; 4 pairs: 259 images; 2 pairs: 445 images;
40,20,1.8378,1024,0.002258,10 pairs: 41 images; 8 pairs: 82 images; 6 pairs: 198 images; 4 pairs: 262 images; 2 pairs: 440 images;
40,30,1.8416,1024,0.002258,10 pairs: 46 images; 8 pairs: 70 images; 6 pairs: 178 images; 4 pairs: 278 images; 2 pairs: 449 images;
40,40,1.8585,1024,0.002258,10 pairs: 27 images; 8 pairs: 85 images; 6 pairs: 159 images; 4 pairs: 286 images; 2 pairs: 466 images;
